,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
95,0.04782183965047201,0.004335882321788222,0.009724696477254232,0.0016745591524041975,balanced,entropy,6,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2071767095463778,0.22013061851709567,0.23927765237020315,0.2221949934778922,0.013186201513417957,196
136,0.10230159759521484,0.0033913137793598427,0.014892101287841797,0.0007511285923222649,balanced,gini,9,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.2011611030478955,0.2674135411592791,0.1969332531569453,0.22183596578804,0.03227439863850646,197
93,0.05528481801350912,0.0047800954393356935,0.013018449147542318,0.002158910327336289,balanced,entropy,6,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.19505935194096888,0.22289844047166224,0.2375,0.21848593080421033,0.0176050150637378,198
129,0.04627720514933268,0.008722326287692407,0.01467148462931315,0.0002489802632834853,balanced,gini,6,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.19505935194096888,0.2230681385610963,0.23676148796498905,0.21829632615568476,0.01735597269848433,199
101,0.12717064221700033,0.01206773602770027,0.01597460110982259,0.0015933227740243553,balanced,entropy,9,,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.2189631650750341,0.2044378698224852,0.23114158935054457,0.21818087474935463,0.01091577277073726,200
99,0.10907761255900066,0.012105494956850177,0.013890743255615234,0.0013714838057712802,balanced,entropy,9,,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.21833910034602075,0.2037525652301378,0.23048327137546468,0.21752497898387438,0.010927938443920742,201
103,0.07151007652282715,0.009887491070966706,0.018781741460164387,0.003874908240059393,balanced,entropy,9,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.22817314746881878,0.21858736059479553,0.20276794335371742,0.21650948380577725,0.010475185853410795,202
139,0.0536191463470459,0.0053068855110499896,0.011511564254760742,0.0016027635737040228,balanced,gini,9,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.2194708276797829,0.21858736059479553,0.21052631578947367,0.21619483468801737,0.004024442686047704,203
97,0.121826966603597,0.011981131022114863,0.010231097539265951,0.002399964116609725,balanced,entropy,9,,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.21305957590037025,0.2035840188014101,0.2302604381976023,0.21563467763312757,0.011041775209054085,204
137,0.11093481381734212,0.013180309575629696,0.014990568161010742,0.0029625342540647004,balanced,gini,9,,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.20743700061462814,0.2044917257683215,0.23114158935054457,0.21435677191116476,0.011929409969624195,205
120,0.0909728209177653,0.011551914236094217,0.013432025909423828,0.00288111906575224,balanced,gini,6,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.21084337349397592,0.1939206304531382,0.23607427055702918,0.21361275816804773,0.017320209046213987,206
135,0.09295121828715007,0.0003609090504675101,0.010120550791422525,0.0008073858132952304,balanced,gini,9,,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.20192307692307693,0.2028604786923526,0.2319140140553948,0.2122325232236081,0.013922176351431505,207
133,0.12336007754007976,0.025491408933582472,0.012564579645792643,0.0023062168426869266,balanced,gini,9,,0.005,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.19805194805194806,0.20204081632653062,0.2318181818181818,0.2106369820655535,0.01506563827054907,208
122,0.08193087577819824,0.005137525290295607,0.01005848248799642,0.0014259955111174572,balanced,gini,6,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.20530393325387367,0.19413092550790068,0.22561459159397304,0.2083498167852491,0.01303235364825694,209
140,0.05875126520792643,0.00254726230148464,0.011521021525065104,0.0022173149724189836,balanced,gini,9,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.21492241663915485,0.2186305179005909,0.18439919701749355,0.2059840438524131,0.015337681558968167,210
106,0.04871590932210287,0.004121733438462751,0.013196309407552084,0.00241314606311593,balanced,entropy,9,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.22589928057553957,0.18673647469458987,0.20530275886778931,0.2059795047126396,0.015995308266720562,211
142,0.04547635714213053,0.012031816701284065,0.01356967290242513,0.001148511836450881,balanced,gini,9,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.22589928057553957,0.18673647469458987,0.20500894454382826,0.20588156660465254,0.01600005089706519,212
104,0.07294726371765137,0.008248185873137744,0.021431763966878254,0.005003356018245999,balanced,entropy,9,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.2099483204134367,0.2186305179005909,0.18439919701749355,0.20432601177717372,0.014529363329741196,213
86,0.0753174622853597,0.010499717434308265,0.0114595095316569,0.001891236402906846,balanced,entropy,6,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.20253164556962025,0.19439728353140917,0.19626972740315637,0.19773288550139526,0.0034782740123519033,214
88,0.07501379648844402,0.007785215653615138,0.01132806142171224,0.0014428959557898757,balanced,entropy,6,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.20280948200175591,0.193639178159302,0.1960161662817552,0.19748827548093772,0.0038857815397051114,215
124,0.09181737899780273,0.0003016529927924521,0.014812548955281576,0.0010563537832701333,balanced,gini,6,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.20481569560047563,0.193639178159302,0.18922505307855628,0.19589330894611132,0.0065613953172883955,216
